Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
461,15.87002193,-4.88860522,2.94361102,22.68598849,30.33824766,25.48234105,8.88352744,6.4373835,0.987694912,43.08557802,11.31468451,-4.59779338,42.93364844,107.7413014,11.0781875,29.83747283,6.23763209,34.46768973
462,15.67121063,-4.71885911,2.57100263,22.95273288,23.39752554,27.58500994,8.69384637,6.3947024,0.987694912,43.12020123,17.24098692,-4.23084429,41.08454509,105.976712,10.77049736,29.8743758,6.24706709,34.34105266
463,10.169537,0.21654627,6.74261875,23.49911397,16.85526671,3.825423,8.77931619,4.64038525,1.23491708,39.10963321,2.058896,2.26054666,40.79538334,84.19462008,39.9361498,52.38835382,28.54472027,31.307159
464,10.38458081,-0.44759773,6.14129477,19.11830499,18.66116047,3.15696087,8.7426799,4.9462218,3.67433096,39.80606228,1.84915622,0.19468623,57.1646499,118.0760232,38.84351837,37.05422959,21.98872511,29.99050678
465,10.53149978,-1.06384033,3.90639703,22.11249979,16.49749464,5.05348506,8.57073825,5.95207645,3.886856484,40.03594059,3.60841943,-0.59435885,68.58849937,95.46993478,39.2324544,22.48945565,21.78104773,28.98201717
466,10.58256049,-1.2867555,2.2571679,18.8241781,26.27744333,10.76572381,8.3563372,6.54776728,3.918274098,40.09712594,8.41795903,-1.02198265,78.36459554,57.52416522,39.21725266,17.17833128,30.66315692,27.81350262
467,10.55762376,-1.77073157,1.43719399,5.32694828,15.97388014,24.07931444,8.18675445,6.68630528,3.75208528,40.21763086,19.94185284,-1.33918014,100.1147559,43.92142379,38.34311954,14.58127292,32.04518456,25.19706773
468,10.42048064,-3.30880081,1.13000124,22.67256945,3.39213407,28.7927872,8.10107567,6.69255002,9.9690693,40.56030656,23.99289857,-0.12606942,124.6594325,46.46568097,32.14724703,11.05387248,31.46658122,17.99593589
469,14.10319191,-2.53305006,1.18168244,11.10755242,23.67958459,29.01575549,7.80802888,6.86390232,2.11453718,37.2638707,37.0026468,-1.94348267,91.13256379,79.6031506,33.83402914,4.21316887,37.98517476,5.93985887
470,14.24640654,-3.07894158,0.9870483,14.70394987,18.24861864,30.82120967,7.71207976,6.86714004,2.82646723,38.79391275,38.35753745,-2.31405422,130.5312784,77.84181884,14.4509197,3.46831992,37.58943903,5.73340055
471,14.30032478,-3.15771173,0.97233685,19.71591317,17.19570075,28.24609757,7.61910684,6.81670108,4.33747558,39.02627006,37.1637569,-2.51736183,168.4451397,69.9437492,26.91826315,7.5914181,37.21080778,6.24470483
472,14.29259615,-2.44235816,0.900654,20.479938,17.19570075,20.00922192,7.4752955,6.77150069,7.89589388,38.62256428,23.62817758,-2.3743352,168.026325,57.34939631,35.90147691,14.19892825,37.22331886,7.86032839
473,14.1574563,-0.90193257,0.84026631,16.05112522,17.19570075,26.86797168,7.26511514,6.62981734,11.71445581,39.51418882,13.41184506,-1.59176613,157.0135356,46.18394693,13.07908469,21.76286551,37.15152542,10.84574961
474,13.90341806,0.41927058,0.7619927,25.29676452,38.71253836,18.02178949,7.03274526,6.67879868,13.89546933,38.88923454,13.76797002,-0.36509771,148.7622927,40.33319861,34.96672219,27.03242017,31.62540596,13.10708155
475,14.93062758,0.48782108,2.75833571,21.67937076,15.36317111,18.49134833,7.8733958,6.40078016,4.57491148,42.33872647,19.26246875,4.061626742,171.391148,74.15292817,3.69273702,33.01472928,9.67027052,37.57715414
476,15.06058927,3.6708044,6.60633884,22.22214858,10.34054729,4.75728776,7.69231463,6.26109102,3.41560099,41.22925817,15.00654909,1.01917204,181.7749742,47.18605519,43.80663574,29.62388581,16.05453055,52.7917273
477,15.14128257,5.16905206,8.6422484,22.03501717,8.60100784,1.90074423,7.47455375,6.20580818,0.98883095,42.50818657,9.64789461,5.48616049,182.7354949,30.46480826,170.3906141,25.82025769,29.21496058,57.41741206
478,15.16744428,3.40257005,6.51553355,17.90369215,18.11740783,4.08319137,7.51214781,6.23100537,1.10470461,41.94991833,13.27973933,7.20633414,170.1151535,38.88190609,175.1281362,31.68557492,29.9700933,51.06614221
